transaction_id,customer_id,event_time,channel,region,customer_segment,device_type,transaction_amount,txn_count_last_24h,txn_count_last_7d,avg_amount_last_30d,velocity_flag,high_amount_flag,new_device_flag,odd_hour_flag,high_risk_flag
1,221958,2025-01-01 09:11:00,POS,South,Retail,New,7245.13,3,6,7808.76,0,0,1,0,0
2,771155,2025-01-01 04:15:00,Mobile App,South,Retail,Known,833.82,2,5,824.76,0,0,0,1,0
3,231932,2025-01-01 02:04:00,Mobile App,South,Retail,Known,489.47,3,6,489.52,0,0,0,1,0
4,465838,2025-01-01 04:16:00,Mobile App,East,SME,Known,626.29,3,11,649.6,0,0,0,1,0
5,359178,2025-01-01 11:23:00,Mobile App,West,SME,Known,1149.74,3,10,996.77,0,0,0,0,0
6,744167,2025-01-01 03:03:00,Web,East,Retail,New,7759.95,3,7,7009.06,0,0,1,1,0
7,210268,2025-01-01 05:34:00,POS,North,Retail,Known,3303.03,0,2,3324.36,0,0,0,1,0
8,832180,2025-01-01 04:53:00,Call Center,North,Retail,Known,3232.07,2,12,2272.08,0,0,0,1,0
9,154886,2025-01-01 14:30:00,Mobile App,West,Retail,Known,2060.77,3,6,1564.62,0,0,0,0,0
10,237337,2025-01-01 21:31:00,Web,East,Retail,Known,2781.1,1,2,2019.23,0,0,0,0,0
11,621430,2025-01-01 12:01:00,Web,West,Retail,Known,986.16,3,9,892.79,0,0,0,0,0
12,187498,2025-01-01 04:10:00,Mobile App,West,SME,Known,10080.96,1,3,10109.49,0,0,0,1,0
13,999159,2025-01-01 05:40:00,Web,North,SME,New,502.75,1,8,398.12,0,0,1,1,1
14,275203,2025-01-01 01:32:00,Web,East,Retail,Known,2925.63,1,5,2482.77,0,0,0,1,1
15,291335,2025-01-01 01:50:00,POS,South,SME,Known,3544.12,3,6,3547.6,0,0,0,1,0
16,378167,2025-01-01 01:47:00,Mobile App,South,Retail,Known,2340.32,3,4,2282.52,0,0,0,1,0
17,141090,2025-01-01 01:23:00,Mobile App,West,Retail,Known,2043.09,2,12,1706.08,0,0,0,1,1
18,429365,2025-01-01 01:58:00,Web,East,Retail,Known,478.27,4,7,431.57,0,0,0,1,0
19,164820,2025-01-01 02:15:00,Mobile App,South,Retail,Known,1612.51,3,5,1204.54,0,0,0,1,0
20,887201,2025-01-01 01:11:00,POS,South,SME,Known,1679.25,0,6,1519.01,0,0,0,1,0
21,421879,2025-01-01 10:13:00,Mobile App,East,SME,Known,567.83,4,11,525.53,0,0,0,0,0
22,818315,2025-01-02 22:27:00,Mobile App,South,Retail,Known,940.55,1,5,698.54,0,0,0,0,0
23,427069,2025-01-01 21:08:00,Mobile App,North,Retail,New,3675.23,1,4,2619.78,0,0,1,0,1
24,876997,2025-01-01 00:28:00,Mobile App,South,Retail,Known,569.0,1,5,443.0,0,0,0,1,0
25,299041,2025-01-01 05:30:00,Mobile App,North,Retail,Known,1034.84,2,7,732.09,0,0,0,1,0
26,891743,2025-01-01 19:36:00,POS,West,Retail,Known,1333.6,2,7,1073.1,0,0,0,0,0
27,203355,2025-01-01 01:26:00,Mobile App,East,Retail,Known,1612.2,0,8,1688.73,0,0,0,1,0
28,335796,2025-01-01 18:48:00,Mobile App,North,Retail,Known,782.08,1,10,608.06,0,0,0,0,0
29,314176,2025-01-01 08:58:00,Web,South,Retail,Shared,6245.73,5,12,6560.41,0,0,0,0,0
30,284779,2025-01-02 02:46:00,Mobile App,North,SME,Known,3194.62,1,8,1963.31,0,0,0,1,1
31,447449,2025-01-01 20:52:00,Mobile App,South,Retail,Known,1078.58,0,1,1148.02,0,0,0,0,0
32,521909,2025-01-01 11:18:00,Web,South,Retail,Known,1897.06,1,9,1933.39,0,0,0,0,0
33,358795,2025-01-01 10:43:00,Mobile App,North,Retail,Known,2627.45,2,8,1678.45,0,0,0,0,0
34,586232,2025-01-01 02:23:00,Mobile App,South,Retail,Known,1340.72,0,8,1009.74,0,0,0,1,1
35,600186,2025-01-01 01:14:00,Web,North,Retail,Known,771.35,0,9,552.14,0,0,0,1,0
36,256730,2025-01-01 05:22:00,Mobile App,West,SME,Known,1441.54,0,6,1217.77,0,0,0,1,0
37,970910,2025-01-01 02:03:00,Call Center,West,SME,Known,1322.39,1,5,891.1,0,0,0,1,0
38,484681,2025-01-01 01:04:00,Mobile App,West,Retail,Known,2309.67,1,4,1490.52,0,0,0,1,0
39,249503,2025-01-01 03:36:00,POS,West,Retail,Shared,4431.24,2,7,2884.98,0,0,0,1,0
40,754811,2025-01-01 19:41:00,Web,South,Retail,Known,1020.86,0,5,661.19,0,0,0,0,0
41,627035,2025-01-01 00:10:00,Mobile App,East,Retail,Known,437.65,3,9,463.18,0,0,0,1,0
42,748143,2025-01-01 03:27:00,Mobile App,East,Retail,New,1375.31,1,6,1329.48,0,0,1,1,1
43,552366,2025-01-01 05:31:00,POS,North,Retail,New,1552.32,3,7,1342.01,0,0,1,1,0
44,165725,2025-01-01 07:08:00,Web,West,SME,Known,1796.78,1,7,1265.6,0,0,0,0,0
45,229981,2025-01-01 02:00:00,Mobile App,West,Retail,Known,694.5,0,6,710.03,0,0,0,1,0
46,184654,2025-01-02 09:18:00,Mobile App,North,SME,Known,1031.92,3,8,977.74,0,0,0,0,0
