transaction_id,customer_id,channel,region,customer_segment,device_type,transaction_amount,txn_count_last_24h,txn_count_last_7d,avg_amount_last_30d,velocity_flag,high_amount_flag,new_device_flag,odd_hour_flag,high_risk_flag,event_time_unix,predicted_high_risk_flag,probability_0,probability_1,risk_bucket
1,221958,POS,South,Retail,New,7245.13,3,6,7808.76,0,0,1,0,0,1735722660.0,0,0.9423575617712082,0.0576424382287917,Low
2,771155,Mobile App,South,Retail,Known,833.82,2,5,824.76,0,0,0,1,0,1735704900.0,0,0.965084016099173,0.0349159839008269,Low
3,231932,Mobile App,South,Retail,Known,489.47,3,6,489.52,0,0,0,1,0,1735697040.0,0,0.9580279313164334,0.0419720686835665,Low
4,465838,Mobile App,East,SME,Known,626.29,3,11,649.6,0,0,0,1,0,1735704960.0,0,0.9514487021061044,0.0485512978938954,Low
5,359178,Mobile App,West,SME,Known,1149.74,3,10,996.77,0,0,0,0,0,1735730580.0,0,0.9949886709192453,0.0050113290807548,Low
6,744167,Web,East,Retail,New,7759.95,3,7,7009.06,0,0,1,1,0,1735700580.0,1,0.7008882895028612,0.2991117104971388,Low
7,210268,POS,North,Retail,Known,3303.03,0,2,3324.36,0,0,0,1,0,1735709640.0,0,0.9571396405566832,0.0428603594433168,Low
8,832180,Call Center,North,Retail,Known,3232.07,2,12,2272.08,0,0,0,1,0,1735707180.0,0,0.946490427249173,0.053509572750827,Low
9,154886,Mobile App,West,Retail,Known,2060.77,3,6,1564.62,0,0,0,0,0,1735741800.0,0,0.9952749121222492,0.0047250878777508,Low
10,237337,Web,East,Retail,Known,2781.1,1,2,2019.23,0,0,0,0,0,1735767060.0,0,0.993172468264379,0.006827531735621,Low
11,621430,Web,West,Retail,Known,986.16,3,9,892.79,0,0,0,0,0,1735732860.0,0,0.995159221623064,0.0048407783769361,Low
12,187498,Mobile App,West,SME,Known,10080.96,1,3,10109.49,0,0,0,1,0,1735704600.0,0,0.9577726090627424,0.0422273909372575,Low
13,999159,Web,North,SME,New,502.75,1,8,398.12,0,0,1,1,1,1735710000.0,1,0.5768939279519186,0.4231060720480813,Medium
14,275203,Web,East,Retail,Known,2925.63,1,5,2482.77,0,0,0,1,1,1735695120.0,0,0.9380427743747316,0.0619572256252683,Low
15,291335,POS,South,SME,Known,3544.12,3,6,3547.6,0,0,0,1,0,1735696200.0,0,0.9702871295049056,0.0297128704950943,Low
16,378167,Mobile App,South,Retail,Known,2340.32,3,4,2282.52,0,0,0,1,0,1735696020.0,0,0.9633296651363116,0.0366703348636884,Low
17,141090,Mobile App,West,Retail,Known,2043.09,2,12,1706.08,0,0,0,1,1,1735694580.0,0,0.928386687342083,0.071613312657917,Low
18,429365,Web,East,Retail,Known,478.27,4,7,431.57,0,0,0,1,0,1735696680.0,0,0.9609658762616748,0.0390341237383252,Low
